miclog2	drug	readingday	method	key_id
-4.05889368057251	mxf	14	vz	TJK 98
-3.05889368057251	pas	14	vz	TJK 98
-5.05889368057251	dlm	14	vz	TJK 98
-4.05889368057251	cfz	14	vz	TJK 98
0	kan	14	vz	TJK 98
NA	bdq	14	vz	TJK 98
NA	rfb	14	vz	TJK 98
NA	emb	14	vz	TJK 98
NA	rif	14	vz	TJK 98
NA	cfz	14	vz	TJK 98
NA	ami	14	vz	TJK 98
NA	pas	14	vz	TJK 98
NA	lev	14	vz	TJK 98
NA	kan	14	vz	TJK 98
NA	inh	14	vz	TJK 98
NA	dlm	14	vz	TJK 98
NA	mxf	14	vz	TJK 98
NA	eth	14	vz	TJK 98
NA	lzd	14	vz	TJK 98
NA	emb	14	vz	TJK 98
NA	eth	14	vz	TJK 98
NA	kan	14	vz	TJK 98
NA	mxf	14	vz	TJK 98
NA	bdq	14	vz	TJK 98
NA	lev	14	vz	TJK 98
NA	dlm	14	vz	TJK 98
NA	cfz	14	vz	TJK 98
NA	rfb	14	vz	TJK 98
NA	lzd	14	vz	TJK 98
NA	rif	14	vz	TJK 98
NA	inh	14	vz	TJK 98
NA	ami	14	vz	TJK 98
NA	pas	14	vz	TJK 98
-6.05889368057251	bdq	14	vz	TJK 98
-2	pas	14	vz	TJK 98
0	dlm	14	vz	TJK 98
-2	ami	14	vz	TJK 98
-3.05889368057251	lzd	14	vz	TJK 98
3	rif	14	vz	TJK 98
0.678071916103363	inh	14	vz	TJK 98
1	eth	14	vz	TJK 98
-2	lev	14	vz	TJK 98
1	rfb	14	vz	TJK 98
-2	cfz	14	vz	TJK 98
-3.05889368057251	mxf	14	vz	TJK 98
0	kan	14	vz	TJK 98
1	emb	14	vz	TJK 98
0	kan	14	vz	TJK 98
1	rfb	14	vz	TJK 98
-2	pas	14	vz	TJK 98
1	emb	14	vz	TJK 98
-0.321928083896637	inh	14	vz	TJK 98
-6.05889368057251	bdq	14	vz	TJK 98
-3.05889368057251	mxf	14	vz	TJK 98
-2	cfz	14	vz	TJK 98
-2	ami	14	vz	TJK 98
3	rif	14	vz	TJK 98
1	eth	14	vz	TJK 98
-3.05889368057251	lzd	14	vz	TJK 98
1	dlm	14	vz	TJK 98
-2	lev	14	vz	TJK 98
2	emb	14	vz	TJK 98
1	dlm	14	vz	TJK 98
3	rif	14	vz	TJK 98
1.67807197570801	inh	14	vz	TJK 98
-2	lzd	14	vz	TJK 98
-2	lev	14	vz	TJK 98
2	rfb	14	vz	TJK 98
-2	pas	14	vz	TJK 98
-2	ami	14	vz	TJK 98
0	kan	14	vz	TJK 98
2	eth	14	vz	TJK 98
-3.05889368057251	mxf	14	vz	TJK 98
-3.05889368057251	cfz	14	vz	TJK 98
-5.05889368057251	bdq	14	vz	TJK 98
3	rif	14	vz	TJK 98
0	kan	14	vz	TJK 98
2	eth	14	vz	TJK 98
2	rfb	14	vz	TJK 98
-2	mxf	14	vz	TJK 98
-2	lev	14	vz	TJK 98
-2	lzd	14	vz	TJK 98
-5.05889368057251	bdq	14	vz	TJK 98
-3.05889368057251	cfz	14	vz	TJK 98
-2	pas	14	vz	TJK 98
2	emb	14	vz	TJK 98
-2	ami	14	vz	TJK 98
1	dlm	14	vz	TJK 98
1.67807197570801	inh	14	vz	TJK 98
-4.05889368057251	cfz	14	vz	W3821
-3.05889368057251	pas	14	vz	W3821
3	rif	14	vz	W3821
1.67807197570801	inh	14	vz	W3821
0	kan	14	vz	W3821
4	lev	14	vz	W3821
4	eth	14	vz	W3821
-1	lzd	14	vz	W3821
-6.05889368057251	dlm	14	vz	W3821
-2	ami	14	vz	W3821
2	rfb	14	vz	W3821
4	emb	14	vz	W3821
-6.05889368057251	bdq	14	vz	W3821
3	mxf	14	vz	W3821
4	eth	14	vz	W3821
1	kan	14	vz	W3821
-6.05889368057251	bdq	14	vz	W3821
3	mxf	14	vz	W3821
-6.05889368057251	dlm	14	vz	W3821
-1	lzd	14	vz	W3821
1.67807197570801	inh	14	vz	W3821
-4.05889368057251	cfz	14	vz	W3821
3	rif	14	vz	W3821
-2	pas	14	vz	W3821
4	lev	14	vz	W3821
-2	ami	14	vz	W3821
4	emb	14	vz	W3821
2	rfb	14	vz	W3821
-4.05889368057251	cfz	14	vz	W3821
3	mxf	14	vz	W3821
-6.05889368057251	dlm	14	vz	W3821
-1	lzd	14	vz	W3821
4	emb	14	vz	W3821
3	rif	14	vz	W3821
1	rfb	14	vz	W3821
4	eth	14	vz	W3821
1.67807197570801	inh	14	vz	W3821
1	kan	14	vz	W3821
-2	ami	14	vz	W3821
-1	pas	14	vz	W3821
4	lev	14	vz	W3821
-5.05889368057251	bdq	14	vz	W3821
-2	ami	14	vz	W3821
3	kan	14	vz	W3821
4	eth	14	vz	W3821
3	pas	14	vz	W3821
-4.05889368057251	cfz	14	vz	W3821
-6.05889368057251	dlm	14	vz	W3821
3	rif	14	vz	W3821
1	rfb	14	vz	W3821
4	lev	14	vz	W3821
-1	lzd	14	vz	W3821
3	mxf	14	vz	W3821
1.67807197570801	inh	14	vz	W3821
-5.05889368057251	bdq	14	vz	W3821
4	emb	14	vz	W3821
NA	cfz	14	vz	W3821
NA	rfb	14	vz	W3821
NA	ami	14	vz	W3821
NA	mxf	14	vz	W3821
NA	lzd	14	vz	W3821
NA	bdq	14	vz	W3821
NA	inh	14	vz	W3821
NA	dlm	14	vz	W3821
NA	kan	14	vz	W3821
NA	eth	14	vz	W3821
NA	lev	14	vz	W3821
NA	emb	14	vz	W3821
NA	rif	14	vz	W3821
NA	pas	14	vz	W3821
NA	bdq	14	vz	W3821
NA	mxf	14	vz	W3821
NA	ami	14	vz	W3821
NA	lzd	14	vz	W3821
NA	lev	14	vz	W3821
NA	kan	14	vz	W3821
NA	inh	14	vz	W3821
NA	dlm	14	vz	W3821
NA	eth	14	vz	W3821
NA	rif	14	vz	W3821
NA	rfb	14	vz	W3821
NA	emb	14	vz	W3821
NA	pas	14	vz	W3821
NA	cfz	14	vz	W3821
4	emb	14	vz	W3821
4	eth	14	vz	W3821
0	lzd	14	vz	W3821
2	rfb	14	vz	W3821
3	mxf	14	vz	W3821
2	pas	14	vz	W3821
-3.05889368057251	dlm	14	vz	W3821
3	rif	14	vz	W3821
-2	ami	14	vz	W3821
1	kan	14	vz	W3821
1.67807197570801	inh	14	vz	W3821
4	lev	14	vz	W3821
-5.05889368057251	bdq	14	vz	W3821
-3.05889368057251	cfz	14	vz	W3821
-2	ami	14	vz	W3821
1	kan	14	vz	W3821
-5.05889368057251	bdq	14	vz	W3821
2	rfb	14	vz	W3821
4	eth	14	vz	W3821
2	pas	14	vz	W3821
3	rif	14	vz	W3821
3	mxf	14	vz	W3821
4	emb	14	vz	W3821
0	lzd	14	vz	W3821
4	lev	14	vz	W3821
-3.05889368057251	dlm	14	vz	W3821
-3.05889368057251	cfz	14	vz	W3821
1.67807197570801	inh	14	vz	W3821
-4.05889368057251	cfz	14	vz	W3821
4	eth	14	vz	W3821
3	rif	14	vz	W3821
1.67807197570801	inh	14	vz	W3821
-1	lzd	14	vz	W3821
1	kan	14	vz	W3821
4	lev	14	vz	W3821
3	mxf	14	vz	W3821
4	emb	14	vz	W3821
-5.05889368057251	bdq	14	vz	W3821
3	pas	14	vz	W3821
-5.05889368057251	dlm	14	vz	W3821
-1	ami	14	vz	W3821
2	rfb	14	vz	W3821
-2	ami	14	vz	W3821
-4.05889368057251	cfz	14	vz	W3821
3	mxf	14	vz	W3821
3	rif	14	vz	W3821
0	kan	14	vz	W3821
2	rfb	14	vz	W3821
-1	lzd	14	vz	W3821
-1	pas	14	vz	W3821
4	eth	14	vz	W3821
-5.05889368057251	bdq	14	vz	W3821
-5.05889368057251	dlm	14	vz	W3821
1.67807197570801	inh	14	vz	W3821
4	emb	14	vz	W3821
4	lev	14	vz	W3821
0	lzd	14	vz	W3821
2	rfb	14	vz	W3821
1.67807197570801	inh	14	vz	W3821
-5.05889368057251	bdq	14	vz	W3821
4	emb	14	vz	W3821
0	kan	14	vz	W3821
4	eth	14	vz	W3821
-1	pas	14	vz	W3821
3	mxf	14	vz	W3821
-1	ami	14	vz	W3821
-6.05889368057251	dlm	14	vz	W3821
4	lev	14	vz	W3821
3	rif	14	vz	W3821
-4.05889368057251	cfz	14	vz	W3821
2	rfb	14	vz	W3821
-5.05889368057251	bdq	14	vz	W3821
0	lzd	14	vz	W3821
-4.05889368057251	cfz	14	vz	W3821
1.67807197570801	inh	14	vz	W3821
-1	ami	14	vz	W3821
4	emb	14	vz	W3821
-6.05889368057251	dlm	14	vz	W3821
3	eth	14	vz	W3821
0	kan	14	vz	W3821
-1	pas	14	vz	W3821
3	mxf	14	vz	W3821
3	rif	14	vz	W3821
4	lev	14	vz	W3821
0	kan	14	vz	W3821
3	eth	14	vz	W3821
3	lev	14	vz	W3821
-6.05889368057251	bdq	14	vz	W3821
-2	pas	14	vz	W3821
-1	lzd	14	vz	W3821
3	emb	14	vz	W3821
-2	ami	14	vz	W3821
1	rfb	14	vz	W3821
0.678071916103363	inh	14	vz	W3821
2	mxf	14	vz	W3821
-4.05889368057251	cfz	14	vz	W3821
-6.05889368057251	dlm	14	vz	W3821
2	rif	14	vz	W3821
3	mxf	14	vz	W3821
-6.05889368057251	dlm	14	vz	W3821
3	rif	14	vz	W3821
4	emb	14	vz	W3821
0	kan	14	vz	W3821
4	lev	14	vz	W3821
-2	ami	14	vz	W3821
1	rfb	14	vz	W3821
-4.05889368057251	cfz	14	vz	W3821
4	eth	14	vz	W3821
-2	pas	14	vz	W3821
-1	lzd	14	vz	W3821
1.67807197570801	inh	14	vz	W3821
-6.05889368057251	bdq	14	vz	W3821
NA	pas	14	vz	W3821
NA	kan	14	vz	W3821
NA	dlm	14	vz	W3821
NA	rif	14	vz	W3821
NA	inh	14	vz	W3821
NA	rfb	14	vz	W3821
NA	mxf	14	vz	W3821
NA	bdq	14	vz	W3821
NA	lzd	14	vz	W3821
NA	emb	14	vz	W3821
NA	lev	14	vz	W3821
NA	ami	14	vz	W3821
NA	cfz	14	vz	W3821
NA	eth	14	vz	W3821
3	rif	14	vz	W3821
2	rfb	14	vz	W3821
3	eth	14	vz	W3821
-3.05889368057251	bdq	14	vz	W3821
-6.05889368057251	dlm	14	vz	W3821
-4.05889368057251	cfz	14	vz	W3821
4	lev	14	vz	W3821
1	kan	14	vz	W3821
0	lzd	14	vz	W3821
1.67807197570801	inh	14	vz	W3821
1	pas	14	vz	W3821
2	emb	14	vz	W3821
-2	ami	14	vz	W3821
3	mxf	14	vz	W3821
-4.05889368057251	dlm	14	vz	W3821
3	pas	14	vz	W3821
2	rfb	14	vz	W3821
4	eth	14	vz	W3821
1	kan	14	vz	W3821
3	rif	14	vz	W3821
4	emb	14	vz	W3821
-3.05889368057251	bdq	14	vz	W3821
0	ami	14	vz	W3821
0	lzd	14	vz	W3821
-2	cfz	14	vz	W3821
4	lev	14	vz	W3821
1.67807197570801	inh	14	vz	W3821
3	mxf	14	vz	W3821
1	kan	14	vz	W3821
1.67807197570801	inh	14	vz	W3821
4	lev	14	vz	W3821
4	emb	14	vz	W3821
0	lzd	14	vz	W3821
-2	cfz	14	vz	W3821
-4.05889368057251	dlm	14	vz	W3821
3	rif	14	vz	W3821
-3.05889368057251	bdq	14	vz	W3821
3	mxf	14	vz	W3821
3	pas	14	vz	W3821
2	rfb	14	vz	W3821
4	eth	14	vz	W3821
0	ami	14	vz	W3821
-2	ami	14	vz	W3821
-4.05889368057251	bdq	14	vz	W3821
-1	rfb	14	vz	W3821
0	pas	14	vz	W3821
1.67807197570801	inh	14	vz	W3821
3	mxf	14	vz	W3821
-3.05889368057251	cfz	14	vz	W3821
-3.05889368057251	lzd	14	vz	W3821
3	rif	14	vz	W3821
4	eth	14	vz	W3821
4	emb	14	vz	W3821
1	kan	14	vz	W3821
4	lev	14	vz	W3821
-6.05889368057251	dlm	14	vz	W3821
3	rif	14	vz	W3821
-3.05889368057251	cfz	14	vz	W3821
-4.05889368057251	bdq	14	vz	W3821
1	kan	14	vz	W3821
-3.05889368057251	lzd	14	vz	W3821
-2	ami	14	vz	W3821
1.67807197570801	inh	14	vz	W3821
4	emb	14	vz	W3821
0	pas	14	vz	W3821
4	lev	14	vz	W3821
3	mxf	14	vz	W3821
-6.05889368057251	dlm	14	vz	W3821
-1	rfb	14	vz	W3821
4	eth	14	vz	W3821
0	rfb	14	vz	W3821
3	eth	14	vz	W3821
-4.05889368057251	cfz	14	vz	W3821
3	emb	14	vz	W3821
-6.05889368057251	dlm	14	vz	W3821
0	kan	14	vz	W3821
-6.05889368057251	bdq	14	vz	W3821
1.67807197570801	inh	14	vz	W3821
3	mxf	14	vz	W3821
4	lev	14	vz	W3821
-1	lzd	14	vz	W3821
-2	ami	14	vz	W3821
-2	pas	14	vz	W3821
3	rif	14	vz	W3821
0	kan	14	vz	W3821
-2	pas	14	vz	W3821
3	emb	14	vz	W3821
-6.05889368057251	bdq	14	vz	W3821
-6.05889368057251	dlm	14	vz	W3821
4	lev	14	vz	W3821
3	eth	14	vz	W3821
-4.05889368057251	cfz	14	vz	W3821
1.67807197570801	inh	14	vz	W3821
-2	ami	14	vz	W3821
3	mxf	14	vz	W3821
-1	lzd	14	vz	W3821
0	rfb	14	vz	W3821
3	rif	14	vz	W3821
-2	ami	14	vz	W3821
-5.05889368057251	dlm	14	vz	W3821
3	emb	14	vz	W3821
-4.05889368057251	cfz	14	vz	W3821
4	eth	14	vz	W3821
-6.05889368057251	bdq	14	vz	W3821
3	rif	14	vz	W3821
1.67807197570801	inh	14	vz	W3821
-1	lzd	14	vz	W3821
-2	pas	14	vz	W3821
4	lev	14	vz	W3821
0	rfb	14	vz	W3821
3	mxf	14	vz	W3821
0	kan	14	vz	W3821
3	emb	14	vz	W3821
1.67807197570801	inh	14	vz	W3821
4	lev	14	vz	W3821
-5.05889368057251	dlm	14	vz	W3821
0	rfb	14	vz	W3821
3	mxf	14	vz	W3821
-6.05889368057251	bdq	14	vz	W3821
0	kan	14	vz	W3821
3	rif	14	vz	W3821
-4.05889368057251	cfz	14	vz	W3821
-2	ami	14	vz	W3821
4	eth	14	vz	W3821
-2	pas	14	vz	W3821
-1	lzd	14	vz	W3821
-6.05889368057251	dlm	14	vz	H37RV
-2	cfz	14	vz	H37RV
1	pas	14	vz	H37RV
-1	lev	14	vz	H37RV
2	kan	14	vz	H37RV
-1	ami	14	vz	H37RV
-3.05889368057251	rif	14	vz	H37RV
0	eth	14	vz	H37RV
-4.32192802429199	inh	14	vz	H37RV
0	emb	14	vz	H37RV
0	lzd	14	vz	H37RV
-4.05889368057251	rfb	14	vz	H37RV
-4.05889368057251	bdq	14	vz	H37RV
-1	mxf	14	vz	H37RV
-1	mxf	14	vz	H37RV
2	kan	14	vz	H37RV
-1	ami	14	vz	H37RV
0	eth	14	vz	H37RV
0	lzd	14	vz	H37RV
0	emb	14	vz	H37RV
-6.05889368057251	dlm	14	vz	H37RV
-2	cfz	14	vz	H37RV
-4.05889368057251	rfb	14	vz	H37RV
0	pas	14	vz	H37RV
-3.05889368057251	rif	14	vz	H37RV
-4.05889368057251	bdq	14	vz	H37RV
-4.32192802429199	inh	14	vz	H37RV
-1	lev	14	vz	H37RV
-4.05889368057251	rif	14	vz	H37RV
-5.05889368057251	bdq	14	vz	H37RV
-1	eth	14	vz	H37RV
-6.05889368057251	dlm	14	vz	H37RV
-2	lzd	14	vz	H37RV
1	kan	14	vz	H37RV
-1	lev	14	vz	H37RV
-4.05889368057251	cfz	14	vz	H37RV
-2	ami	14	vz	H37RV
-3.05889368057251	pas	14	vz	H37RV
-4.32192802429199	inh	14	vz	H37RV
0	emb	14	vz	H37RV
-4.05889368057251	rfb	14	vz	H37RV
-3.05889368057251	mxf	14	vz	H37RV
-1	lev	14	vz	H37RV
1	emb	14	vz	H37RV
-1	ami	14	vz	H37RV
2	pas	14	vz	H37RV
2	eth	14	vz	H37RV
